"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$812,840,065,750","$42,822.00","18,951,006","$16,766,121,925","2.85 %",2022-02-07 06:31:35
2,"Ethereum","$370,572,546,842","$3,097.53","119,478,334","$12,065,612,984","2.66 %",2022-02-07 06:31:35
3,"Tether","$78,116,679,651","$1.00","77,908,751,039","$39,179,800,906","-0.02 %",2022-02-07 06:31:35
4,"Binance Coin","$71,884,839,181","$428.29","168,137,036","$1,203,222,951","3.16 %",2022-02-07 06:31:35
5,"USD Coin","$51,137,391,745","$1.00","51,074,067,080","$3,203,735,666","-0.16 %",2022-02-07 06:31:35
6,"Solana","$37,680,520,361","$118.15","317,334,040","$1,593,672,147","4.48 %",2022-02-07 06:31:35
7,"Cardano","$37,348,907,552","$1.17","32,066,390,668","$952,184,094","3.65 %",2022-02-07 06:31:35
8,"XRP","$35,707,048,697","$0.75","47,832,461,678","$2,519,428,579","11.65 %",2022-02-07 06:31:35
9,"Polkadot","$24,114,835,074","$22.35","1,080,913,022","$764,300,051","4.68 %",2022-02-07 06:31:35
10,"Terra","$23,096,697,941","$57.60","400,975,712","$1,441,981,601","2.95 %",2022-02-07 06:31:35
11,"Dogecoin","$20,997,028,678","$0.16","132,670,764,300","$958,326,682","6.84 %",2022-02-07 06:31:35
12,"Avalanche","$20,303,276,012","$82.94","245,135,081","$627,810,592","6.71 %",2022-02-07 06:31:35
13,"Binance USD","$16,570,982,777","$1.00","16,522,327,509","$3,080,856,948","-0.11 %",2022-02-07 06:31:35
14,"Shiba Inu","$15,319,357,633","$0.00","549,148,127,028,480","$2,502,286,336","22.82 %",2022-02-07 06:31:35
15,"Polygon","$12,340,996,114","$1.79","6,872,890,164","$772,444,749","4.07 %",2022-02-07 06:31:35
16,"Crypto.com Coin","$12,114,258,034","$0.48","25,263,013,692","$144,897,756","5.53 %",2022-02-07 06:31:35
17,"TerraUSD","$11,289,971,419","$1.00","11,271,856,658","$218,715,341","-0.06 %",2022-02-07 06:31:35
18,"Wrapped Bitcoin","$11,220,862,493","$42,850.00","261,865","$286,885,745","3.01 %",2022-02-07 06:31:35
19,"Cosmos","$9,409,992,395","$32.82","287,706,847","$711,009,248","3.88 %",2022-02-07 06:31:35
20,"Dai","$9,347,348,687","$1.00","9,341,794,829","$273,631,077","-0.21 %",2022-02-07 06:31:35
21,"Litecoin","$8,884,649,925","$128.34","69,584,296","$741,082,752","4.57 %",2022-02-07 06:31:35
22,"Chainlink","$8,845,250,495","$18.87","467,009,550","$628,385,526","5.38 %",2022-02-07 06:31:35
23,"Near","$8,629,212,119","$13.65","633,214,751","$619,219,594","1.10 %",2022-02-07 06:31:35
24,"Algorand","$6,934,750,521","$1.06","6,562,706,635","$198,405,467","4.55 %",2022-02-07 06:31:35
25,"TRON","$6,820,685,426","$0.07","101,797,956,332","$615,815,493","2.53 %",2022-02-07 06:31:35
26,"FTX Token","$6,536,554,349","$47.23","138,147,721","$87,734,244","2.30 %",2022-02-07 06:31:35
27,"Bitcoin Cash","$6,292,521,006","$334.49","18,976,325","$1,386,731,527","2.82 %",2022-02-07 06:31:35
28,"OKB","$5,993,372,198","$22.76","262,680,011","$52,608,562","3.03 %",2022-02-07 06:31:35
29,"Fantom","$5,959,675,787","$2.36","2,541,152,731","$918,321,135","12.08 %",2022-02-07 06:31:35
30,"Stellar","$5,782,415,731","$0.23","24,869,672,197","$276,025,236","4.78 %",2022-02-07 06:31:35
32,"Uniswap","$5,462,742,240","$11.95","456,245,175","$189,373,939","5.13 %",2022-02-07 06:31:35
33,"Decentraland","$5,005,282,242","$3.30","1,515,467,382","$1,220,614,342","6.36 %",2022-02-07 06:31:35
34,"Axie Infinity","$4,996,589,972","$69.99","71,046,832","$1,285,883,190","11.32 %",2022-02-07 06:31:35
35,"Hedera","$4,987,868,173","$0.26","18,988,315,241","$64,479,775","1.88 %",2022-02-07 06:31:35
36,"LEO Token","$4,978,396,054","$5.31","937,264,894","$1,588,856","13.14 %",2022-02-07 06:31:35
37,"Internet Computer","$4,770,623,812","$23.77","200,219,816","$215,985,090","0.96 %",2022-02-07 06:31:35
39,"VeChain","$4,284,678,423","$0.06","66,760,741,299","$261,728,965","7.79 %",2022-02-07 06:31:35
41,"Ethereum Classic","$4,159,896,250","$31.40","132,785,869","$347,747,861","6.20 %",2022-02-07 06:31:35
42,"cETH","$3,700,892,210","$62.14","59,388,101","$23,640,458","2.76 %",2022-02-07 06:31:35
43,"Filecoin","$3,623,337,083","$22.93","157,828,370","$275,878,381","2.96 %",2022-02-07 06:31:35
44,"Theta Network","$3,539,453,735","$3.53","1,000,000,000","$313,443,126","1.18 %",2022-02-07 06:31:35
45,"Tezos","$3,475,328,175","$3.97","875,964,717","$139,082,300","0.85 %",2022-02-07 06:31:35
46,"Elrond","$3,469,356,982","$168.91","20,503,025","$120,505,016","5.48 %",2022-02-07 06:31:35
47,"Monero","$3,201,776,651","$177.00","18,074,993","$97,485,461","3.87 %",2022-02-07 06:31:35
48,"Helium","$3,195,549,202","$31.69","100,539,362","$21,581,735","6.84 %",2022-02-07 06:31:35
49,"Klaytn","$3,175,428,994","$1.21","2,630,630,432","$20,599,422","3.07 %",2022-02-07 06:31:35
50,"The Graph","$2,998,814,779","$0.49","6,157,231,561","$80,058,755","8.66 %",2022-02-07 06:31:35
52,"IOTA","$2,695,596,497","$0.97","2,779,530,283","$29,734,442","1.73 %",2022-02-07 06:31:35
54,"cDAI","$2,672,527,480","$0.02","122,044,918,267","$855,916","-0.27 %",2022-02-07 06:31:35
56,"Harmony","$2,604,070,194","$0.22","11,694,821,201","$194,156,694","10.09 %",2022-02-07 06:31:35
57,"EOS","$2,557,565,827","$2.60","983,456,025","$274,402,551","4.03 %",2022-02-07 06:31:35
58,"cUSDC","$2,532,946,258","$0.02","112,388,267,803","$3,702,838","-0.21 %",2022-02-07 06:31:35
58,"BitTorrent","$2,517,192,710","$0.00","932,497,500,000","$1,041,475","-0.14 %",2022-02-07 06:31:35
59,"Flow","$2,432,429,022","$7.57","318,082,398","$328,047,156","8.70 %",2022-02-07 06:31:35
60,"Aave","$2,428,980,613","$179.90","13,508,435","$143,256,924","6.31 %",2022-02-07 06:31:35
62,"PancakeSwap","$2,268,272,285","$8.33","271,903,427","$106,621,261","4.64 %",2022-02-07 06:31:35
64,"Maker","$2,025,826,825","$2,246.42","901,311","$58,699,997","-0.91 %",2022-02-07 06:31:35
65,"Enjin Coin","$1,966,848,757","$2.10","934,340,660","$272,062,016","4.74 %",2022-02-07 06:31:35
66,"Arweave","$1,961,157,025","$39.21","50,108,502","$29,341,932","2.89 %",2022-02-07 06:31:35
67,"Bitcoin SV","$1,910,985,752","$100.71","18,972,564","$58,334,157","2.31 %",2022-02-07 06:31:35
68,"Theta Fuel","$1,886,178,774","$0.23","0","$154,037,666","-0.12 %",2022-02-07 06:31:35
69,"Quant","$1,881,453,338","$143.36","13,413,953","$31,581,689","8.64 %",2022-02-07 06:31:35
70,"Stacks","$1,803,694,302","$1.71","1,052,561,462","$45,682,336","2.62 %",2022-02-07 06:31:35
71,"Kusama","$1,778,919,166","$196.18","8,980,098","$61,283,751","6.70 %",2022-02-07 06:31:35
74,"eCash","$1,688,748,162","$0.00","18,972,467,173,313","$33,647,284","3.31 %",2022-02-07 06:31:35
75,"NEO","$1,672,378,280","$23.63","70,530,000","$96,958,773","6.33 %",2022-02-07 06:31:35
76,"Huobi Token","$1,590,305,431","$10.15","156,741,729","$30,084,414","1.64 %",2022-02-07 06:31:35
77,"KuCoin Token","$1,553,332,994","$20.31","76,429,661","$9,678,528","2.25 %",2022-02-07 06:31:35
78,"Amp","$1,551,665,098","$0.03","48,013,928,909","$10,917,603","2.35 %",2022-02-07 06:31:35
79,"TrueUSD","$1,527,460,654","$1.00","1,524,236,147","$64,035,220","0.02 %",2022-02-07 06:31:35
80,"Zcash","$1,515,638,950","$125.12","12,095,428","$235,864,814","1.14 %",2022-02-07 06:31:35
81,"THORChain","$1,503,700,690","$5.01","300,750,085","$63,710,635","3.96 %",2022-02-07 06:31:35
82,"Basic Attention Token","$1,423,223,323","$0.95","1,494,840,445","$83,949,327","1.70 %",2022-02-07 06:31:35
83,"Celo","$1,416,885,974","$3.51","407,486,151","$56,257,945","5.68 %",2022-02-07 06:31:35
84,"Loopring","$1,410,053,183","$1.13","1,245,991,469","$516,413,082","17.39 %",2022-02-07 06:31:35
85,"Curve DAO Token","$1,362,251,774","$3.48","391,958,099","$264,796,670","0.32 %",2022-02-07 06:31:35
89,"Celsius Network","$1,270,172,855","$2.99","423,415,980","$3,530,703","10.71 %",2022-02-07 06:31:35
90,"Chiliz","$1,255,672,009","$0.23","5,344,064,580","$166,994,161","6.91 %",2022-02-07 06:31:35
92,"NEXO","$1,246,991,603","$2.23","560,000,010","$5,858,919","1.12 %",2022-02-07 06:31:35
94,"Synthetix Network Token","$1,175,983,646","$5.81","201,581,871","$51,651,156","1.09 %",2022-02-07 06:31:35
94,"Aave [OLD]","$1,253,885,331","$6.02","53,688,345","$13,140","51.13 %",2022-02-07 06:31:35
95,"Dash","$1,170,180,376","$110.93","10,567,683","$155,990,236","3.47 %",2022-02-07 06:31:35
96,"Mina Protocol","$1,141,035,297","$3.08","370,828,460","$34,858,836","2.97 %",2022-02-07 06:31:35
97,"GateToken","$1,140,437,283","$7.24","157,154,388","$5,975,471","3.46 %",2022-02-07 06:31:35
98,"Waves","$1,081,903,729","$10.80","100,000,000","$168,472,367","4.03 %",2022-02-07 06:31:35
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-02-07 06:31:35
99,"Pax Dollar","$1,075,369,686","$1.00","1,072,054,023","$8,727,611","0.03 %",2022-02-07 06:31:35
100,"NEM","$1,024,780,256","$0.11","8,999,999,999","$18,941,706","1.23 %",2022-02-07 06:31:35
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-02-07 06:31:35
